City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
226,Korla,CN,2022-03-30 13:15:00,41.7597,86.1469,48.11,60,0,16.13,clear sky
227,Nyurba,RU,2022-03-30 13:15:01,63.2842,118.3319,6.01,98,79,3.89,broken clouds
228,San Jose,US,2022-03-30 13:13:13,37.3394,-121.895,52.57,82,100,4.61,overcast clouds
229,Komsomolskiy,UZ,2022-03-30 13:15:01,40.4272,71.7189,59.72,26,0,2.3,clear sky
230,Belozerskoye,RU,2022-03-30 13:16:02,55.8214,65.5842,33.19,99,100,14.47,snow
231,Kaifeng,CN,2022-03-30 13:13:04,34.7911,114.3483,58.6,57,100,7.31,light rain
232,Effingham,US,2022-03-30 13:16:02,32.3669,-81.3332,69.94,87,100,6.58,overcast clouds
233,Bambous Virieux,MU,2022-03-30 13:16:03,-20.3428,57.7575,79.21,94,75,12.66,moderate rain
234,Berlevag,NO,2022-03-30 13:16:03,70.8578,29.0864,30.15,74,75,21.85,broken clouds
235,Atar,MR,2022-03-30 13:16:04,20.5169,-13.0499,86.16,20,100,14.05,overcast clouds
236,San Quintin,MX,2022-03-30 13:16:04,30.4833,-115.95,55.56,84,0,10.76,clear sky
237,Ljungby,SE,2022-03-30 13:16:05,56.8332,13.9408,38.98,24,1,3.71,clear sky
238,Port Hedland,AU,2022-03-30 13:16:05,-20.3167,118.5667,84.25,74,100,0.0,overcast clouds
239,Pierre,US,2022-03-30 13:16:06,44.3683,-100.351,29.86,89,100,21.85,mist
240,Shimanovsk,RU,2022-03-30 13:16:06,52.0,127.7,18.7,78,4,8.52,clear sky
241,Cherskiy,RU,2022-03-30 13:16:07,68.75,161.3,-10.89,99,70,3.44,broken clouds
242,Ossora,RU,2022-03-30 13:16:07,59.2353,163.0719,13.1,91,100,4.92,overcast clouds
243,Bahia De Caraquez,EC,2022-03-30 13:16:08,-0.6,-80.4167,75.38,88,98,3.15,overcast clouds
244,Samarai,PG,2022-03-30 13:16:08,-10.6167,150.6667,82.38,77,66,9.98,broken clouds
245,Hervey Bay,AU,2022-03-30 13:16:08,-25.2986,152.8535,74.73,67,0,11.61,clear sky
246,Lima,PE,2022-03-30 13:12:13,-12.0432,-77.0282,72.9,74,0,5.75,clear sky
247,Hualmay,PE,2022-03-30 13:16:09,-11.0964,-77.6139,70.05,83,99,7.92,overcast clouds
248,Praia,CV,2022-03-30 13:16:09,14.9215,-23.5087,72.72,71,99,18.86,overcast clouds
249,Sao Filipe,CV,2022-03-30 13:16:10,14.8961,-24.4956,73.15,72,3,10.69,clear sky
250,Oranjemund,NA,2022-03-30 13:16:10,-28.55,16.4333,66.94,62,100,21.0,overcast clouds
251,Pangnirtung,CA,2022-03-30 13:16:11,66.1451,-65.7125,19.4,79,75,3.44,broken clouds
252,Saskylakh,RU,2022-03-30 13:16:11,71.9167,114.0833,-16.55,96,100,5.46,overcast clouds
253,Atyrau,KZ,2022-03-30 13:16:12,47.1167,51.8833,51.82,58,20,15.66,few clouds
254,Yuanping,CN,2022-03-30 13:16:12,38.7153,112.7575,50.14,31,0,7.92,clear sky
255,East London,ZA,2022-03-30 13:16:13,-33.0153,27.9116,74.34,78,0,5.75,clear sky
256,Rochefort,FR,2022-03-30 13:16:13,45.9167,-1.0,56.93,80,100,5.99,overcast clouds
257,Taltal,CL,2022-03-30 13:16:14,-25.4,-70.4833,63.18,78,22,1.61,few clouds
258,Chingola,ZM,2022-03-30 13:12:42,-12.529,27.8838,69.91,88,68,6.69,light rain
259,Ariquemes,BR,2022-03-30 13:16:14,-9.9133,-63.0408,72.84,99,100,2.84,overcast clouds
