City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
621,Atambua,ID,73.87,light rain,-9.1061,124.8925,Kost Alfa Flat
622,Uchiza,PE,72.37,overcast clouds,-8.4592,-76.4633,Hotel San Pedro
628,Kalianget,ID,81.19,scattered clouds,-7.05,113.9333,Pesanggrahan Garam
631,Sompeta,IN,82.54,clear sky,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
633,Caravelas,BR,84.69,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
635,Merauke,ID,80.98,overcast clouds,-8.4667,140.3333,
645,Manado,ID,77.77,few clouds,1.487,124.8455,Aryaduta Hotel
646,Catuday,PH,81.16,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
647,Bloemfontein,ZA,80.08,scattered clouds,-29.1211,26.214,Protea Hotel by Marriott Bloemfontein
650,Aden,YE,81.91,broken clouds,12.7794,45.0367,Sama Emirate Hotel
666,Lebowakgomo,ZA,79.7,clear sky,-24.2,29.5,Chuene Resort
667,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
668,Lubao,PH,84.27,clear sky,14.9167,120.55,Hacienda Gracia
671,Akyab,MM,81.5,broken clouds,20.15,92.9,Hotel Memory
674,Manama,BH,80.78,clear sky,26.2154,50.5832,Al Safir Hotel
676,Sorong,ID,82.6,few clouds,-0.8833,131.25,Waigo Splash Hotel
679,Neiafu,TO,77.68,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
683,Beira,MZ,84.29,few clouds,-19.8436,34.8389,Beira Terrace Hotel
695,Gorontalo,ID,76.06,light rain,0.5412,123.0595,Maqna Hotel by Prasanthi
696,Dromolaxia,CY,74.44,few clouds,34.8761,33.586,Sea N Lake View Hotel Apartments
697,Mafinga,TZ,70.68,overcast clouds,-7.25,35.0667,
699,Micesti,RO,70.25,overcast clouds,44.95,24.8667,Pensiunea Diana
701,Kilindoni,TZ,79.27,overcast clouds,-7.9139,39.6668,Bustani B&B
706,Nago,JP,72.45,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
709,Bosaso,SO,84.18,scattered clouds,11.2842,49.1816,Red Sea Hotel
716,San Matias,BO,82.53,overcast clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
718,Luau,AO,72.91,light rain,-10.7073,22.2247,Casa- Bernardo Cândido
